Product URL,Image URL,SKUs
https://www.anipet.co.il/product/13757/-%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%92%D7%95%D7%A8%D7%99-%D7%9B%D7%9C%D7%91%D7%99%D7%9D-%D7%A2%D7%95%D7%A3-%D7%94%D7%99%D7%9C%D7%A1-%D7%A1%D7%99%D7%99%D7%A0%D7%A1-%D7%A4%D7%9C%D7%90%D7%9F,https://cdn.modulus.co.il/anipet/41604267.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""1846, 1847, 52742024974"""
https://www.anipet.co.il/product/14059/%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%A7%D7%95%D7%A7%D7%98%D7%99%D7%99%D7%9C-%D7%95%D7%99%D7%98%D7%94-%D7%A7%D7%A8%D7%90%D7%A4%D7%98-,https://cdn.modulus.co.il/anipet/קוקטיל.jpeg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""4008239210036"""
https://www.anipet.co.il/product/14060/%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%AA%D7%95%D7%9B%D7%95%D7%A0%D7%99%D7%9D-%D7%95%D7%99%D7%98%D7%94-%D7%A7%D7%A8%D7%90%D7%A4%D7%98-,https://cdn.modulus.co.il/anipet/תוכונים%20אוסטרלים.jpeg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""4008239214447"""
https://www.anipet.co.il/product/14065/%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%A6%D7%99%D7%A4%D7%95%D7%A8%D7%99-%D7%90%D7%94%D7%91%D7%94-%D7%90%D7%A4%D7%A8%D7%99%D7%A7%D7%A0%D7%99%D7%95%D7%AA-%D7%95%D7%99%D7%98%D7%94-%D7%A7%D7%A8%D7%90%D7%A4%D7%98-,https://cdn.modulus.co.il/anipet/פרסונטה_800x800.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""4008239216410"""
https://www.anipet.co.il/product/13768/-%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%92%D7%95%D7%A8%D7%99-%D7%9B%D7%9C%D7%91%D7%99%D7%9D-%D7%9E%D7%92%D7%96%D7%A2%D7%99%D7%9D-%D7%92%D7%93%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%99%D7%9C%D7%A1-%D7%A1%D7%99%D7%99%D7%A0%D7%A1-%D7%A4%D7%9C%D7%90%D7%9F-,https://cdn.modulus.co.il/anipet/גור%20גזע%20גדול%20עוף.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""1850, 52742026084"""
https://www.anipet.co.il/product/14068/%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%9B%D7%A0%D7%A8%D7%99%D7%9D-%D7%95%D7%99%D7%98%D7%94-%D7%A7%D7%A8%D7%90%D7%A4%D7%98-,https://cdn.modulus.co.il/anipet/כנרים.jpeg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""4008239214508"""
https://www.anipet.co.il/product/13769/%D7%A8%D7%95%D7%99%D7%90%D7%9C-%D7%A7%D7%A0%D7%99%D7%9F-%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%A8%D7%A0%D7%9C,https://cdn.modulus.co.il/anipet/RENAL.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""3182550711012, 318255071102"""
https://www.anipet.co.il/product/14069/%D7%AA%D7%A2%D7%A8%D7%95%D7%91%D7%AA-%D7%90%D7%95%D7%9B%D7%9C-%D7%9C%D7%AA%D7%95%D7%9B%D7%95%D7%A0%D7%99%D7%9D-%D7%95%D7%A4%D7%99%D7%A0%D7%A7%D7%99%D7%9D-%D7%A8%D7%99%D7%91%D7%95%D7%A1,https://cdn.modulus.co.il/anipet/tarovet_finkin(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""7290008563987, 7290100343999"""
https://www.anipet.co.il/product/14070/%D7%AA%D7%A2%D7%A8%D7%95%D7%91%D7%AA-%D7%90%D7%95%D7%9B%D7%9C-%D7%9C%D7%9B%D7%A0%D7%A8%D7%99%D7%9D-%D7%A8%D7%99%D7%91%D7%95%D7%A1,https://cdn.modulus.co.il/anipet/tarovet_kanarim(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""7290008563970"""
https://www.anipet.co.il/product/13771/%D7%A8%D7%95%D7%99%D7%90%D7%9C-%D7%A7%D7%A0%D7%99%D7%9F-%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%A1%D7%A0%D7%A1%D7%98%D7%99%D7%91%D7%99%D7%98%D7%99-%D7%A7%D7%95%D7%A0%D7%98%D7%A8%D7%95%D7%9C-,https://cdn.modulus.co.il/anipet/Royal_Canin_Sensenitivty.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""3182550759663"""
